id,long,lat
506,115,-28.5
507,115,-28.55
508,115,-28.6
509,115,-28.65
510,115,-28.7
511,115,-28.75
512,115,-28.8
513,115,-28.85
514,115,-28.9
515,115,-28.95
516,115,-29
517,115,-29.05
518,115,-29.1
519,115,-29.15
520,115,-29.2
521,115,-29.25
522,115,-29.3
523,115,-29.35
524,115,-29.4
525,115,-29.45
526,115,-29.5
527,115,-29.55
528,115,-29.6
529,115,-29.65
530,115,-29.7
531,115,-29.75
532,115,-29.8
533,115,-29.85
534,115,-29.9
535,115,-29.95
536,115,-30
537,115,-30.05
538,115,-30.1
539,115,-30.2
540,115.05,-27.3
541,115.05,-27.35
542,115.05,-27.4
543,115.05,-27.45
544,115.05,-27.5
545,115.05,-27.55
546,115.05,-27.6
547,115.05,-27.65
548,115.05,-27.7
549,115.05,-27.75
550,115.05,-27.8
551,115.05,-27.85
552,115.05,-27.9
553,115.05,-27.95
554,115.05,-28
555,115.05,-28.05
556,115.05,-28.1
557,115.05,-28.15
558,115.05,-28.2
559,115.05,-28.25
560,115.05,-28.3
561,115.05,-28.35
562,115.05,-28.4
563,115.05,-28.45
564,115.05,-28.5
565,115.05,-28.55
566,115.05,-28.6
567,115.05,-28.65
568,115.05,-28.7
569,115.05,-28.75
570,115.05,-28.8
571,115.05,-28.85
572,115.05,-28.9
573,115.05,-28.95
574,115.05,-29
575,115.05,-29.05
576,115.05,-29.1
577,115.05,-29.15
578,115.05,-29.2
579,115.05,-29.25
580,115.05,-29.3
581,115.05,-29.35
582,115.05,-29.4
583,115.05,-29.45
584,115.05,-29.5
585,115.05,-29.55
586,115.05,-29.6
587,115.05,-29.65
588,115.05,-29.7
589,115.05,-29.75
590,115.05,-29.8
591,115.05,-29.85
592,115.05,-29.9
593,115.05,-29.95
594,115.05,-30
595,115.05,-30.05
596,115.05,-30.1
597,115.05,-30.15
598,115.05,-30.2
599,115.05,-30.25
600,115.05,-30.3
601,115.05,-30.35
602,115.1,-27.3
603,115.1,-27.35
604,115.1,-27.4
605,115.1,-27.45
606,115.1,-27.5
607,115.1,-27.55
608,115.1,-27.6
609,115.1,-27.65
610,115.1,-27.7
611,115.1,-27.75
612,115.1,-27.8
613,115.1,-27.85
614,115.1,-27.9
615,115.1,-27.95
616,115.1,-28
617,115.1,-28.05
618,115.1,-28.1
619,115.1,-28.15
620,115.1,-28.2
621,115.1,-28.25
622,115.1,-28.3
623,115.1,-28.35
624,115.1,-28.4
625,115.1,-28.45
626,115.1,-28.5
627,115.1,-28.55
628,115.1,-28.6
629,115.1,-28.65
630,115.1,-28.7
631,115.1,-28.75
632,115.1,-28.8
633,115.1,-28.85
634,115.1,-28.9
635,115.1,-28.95
636,115.1,-29
637,115.1,-29.05
638,115.1,-29.1
639,115.1,-29.15
640,115.1,-29.2
641,115.1,-29.25
642,115.1,-29.3
643,115.1,-29.35
644,115.1,-29.4
645,115.1,-29.45
646,115.1,-29.5
647,115.1,-29.55
648,115.1,-29.6
649,115.1,-29.65
650,115.1,-29.7
651,115.1,-29.75
652,115.1,-29.8
653,115.1,-29.85
654,115.1,-29.9
655,115.1,-29.95
656,115.1,-30
657,115.1,-30.05
658,115.1,-30.1
659,115.1,-30.15
660,115.1,-30.2
661,115.1,-30.25
662,115.1,-30.3
663,115.1,-30.35
664,115.1,-30.4
665,115.1,-30.45
666,115.1,-30.5
667,115.1,-30.55
668,115.15,-27.3
669,115.15,-27.35
670,115.15,-27.4
671,115.15,-27.45
672,115.15,-27.5
673,115.15,-27.55
674,115.15,-27.6
675,115.15,-27.65
676,115.15,-27.7
677,115.15,-27.75
678,115.15,-27.8
679,115.15,-27.85
680,115.15,-27.9
681,115.15,-27.95
682,115.15,-28
683,115.15,-28.05
684,115.15,-28.1
685,115.15,-28.15
686,115.15,-28.2
687,115.15,-28.25
688,115.15,-28.3
689,115.15,-28.35
690,115.15,-28.4
691,115.15,-28.45
692,115.15,-28.5
693,115.15,-28.55
694,115.15,-28.6
695,115.15,-28.65
696,115.15,-28.7
697,115.15,-28.75
698,115.15,-28.8
699,115.15,-28.85
700,115.15,-28.9
701,115.15,-28.95
702,115.15,-29
703,115.15,-29.05
704,115.15,-29.1
705,115.15,-29.15
706,115.15,-29.2
707,115.15,-29.25
708,115.15,-29.3
709,115.15,-29.35
710,115.15,-29.4
711,115.15,-29.45
712,115.15,-29.5
713,115.15,-29.55
714,115.15,-29.6
715,115.15,-29.65
716,115.15,-29.7
717,115.15,-29.75
718,115.15,-29.8
719,115.15,-29.85
720,115.15,-29.9
721,115.15,-29.95
722,115.15,-30
723,115.15,-30.05
724,115.15,-30.1
725,115.15,-30.15
726,115.15,-30.2
727,115.15,-30.25
728,115.15,-30.3
729,115.15,-30.35
730,115.15,-30.4
731,115.15,-30.45
732,115.15,-30.5
733,115.15,-30.55
734,115.15,-30.6
735,115.15,-30.65
736,115.2,-27.3
737,115.2,-27.35
738,115.2,-27.4
739,115.2,-27.45
740,115.2,-27.5
741,115.2,-27.55
742,115.2,-27.6
743,115.2,-27.65
744,115.2,-27.7
745,115.2,-27.75
746,115.2,-27.8
747,115.2,-27.85
748,115.2,-27.9
749,115.2,-27.95
750,115.2,-28
751,115.2,-28.05
752,115.2,-28.1
753,115.2,-28.15
754,115.2,-28.2
755,115.2,-28.25
756,115.2,-28.3
757,115.2,-28.35
758,115.2,-28.4
759,115.2,-28.45
760,115.2,-28.5
761,115.2,-28.55
762,115.2,-28.6
763,115.2,-28.65
764,115.2,-28.7
765,115.2,-28.75
766,115.2,-28.8
767,115.2,-28.85
768,115.2,-28.9
769,115.2,-28.95
770,115.2,-29
771,115.2,-29.05
772,115.2,-29.1
773,115.2,-29.15
774,115.2,-29.2
775,115.2,-29.25
776,115.2,-29.3
777,115.2,-29.35
778,115.2,-29.4
779,115.2,-29.45
780,115.2,-29.5
781,115.2,-29.55
782,115.2,-29.6
783,115.2,-29.65
784,115.2,-29.7
785,115.2,-29.75
786,115.2,-29.8
787,115.2,-29.85
788,115.2,-29.9
789,115.2,-29.95
790,115.2,-30
791,115.2,-30.05
792,115.2,-30.1
793,115.2,-30.15
794,115.2,-30.2
795,115.2,-30.25
796,115.2,-30.3
797,115.2,-30.35
798,115.2,-30.4
799,115.2,-30.45
800,115.2,-30.5
801,115.2,-30.55
802,115.2,-30.6
803,115.2,-30.65
804,115.2,-30.7
805,115.2,-30.75
806,115.2,-30.8
807,115.25,-27.55
808,115.25,-27.6
809,115.25,-27.65
810,115.25,-27.7
811,115.25,-27.75
812,115.25,-27.8
813,115.25,-27.85
814,115.25,-27.9
815,115.25,-27.95
816,115.25,-28
817,115.25,-28.05
818,115.25,-28.1
819,115.25,-28.15
820,115.25,-28.2
821,115.25,-28.25
822,115.25,-28.3
823,115.25,-28.35
824,115.25,-28.4
825,115.25,-28.45
826,115.25,-28.5
827,115.25,-28.55
828,115.25,-28.6
829,115.25,-28.65
830,115.25,-28.7
831,115.25,-28.75
832,115.25,-28.8
